local_timestamp,connect_timestamp,flight_timestamp,raw_packet_timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,roll,pitch,yaw,max_g,temp,pressure,P_alt,lon,lat,Alt,vel_n,vel_e,vel_d,fix_type,ejection,launch
1753703413.2757072,55.242297410964966,0.0,9,-0.01,0.04,0.99,-1.1,8.3,-1.7,-1.2,24.7,-41.4,6.28,-7.94,-19.54,0,28.06,999.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1753703413.9542868,55.92087697982788,0.0,24,-0.02,0.09,0.99,9.0,2.3,-2.9,-1.0,24.7,-41.8,6.24,-8.0,-19.54,0,28.06,999.5,0,127.0792388,37.5413894,26.61,0.02,-0.07,0.06,3,0,0
1753703414.4496284,56.416218519210815,0.0,39,-0.02,0.17,0.98,12.2,-3.4,-5.8,-0.8,25.5,-41.5,6.24,-8.12,-19.52,0,28.06,999.5,0,127.0792388,37.5413894,26.61,0.02,-0.07,0.06,3,0,0
1753703414.7008083,56.66739845275879,0.0,1026,-0.02,0.13,0.97,0.3,-2.5,4.8,-4.8,25.6,-38.5,1.16,-8.93,-7.94,0,28.03,999.51,0,127.0792388,37.5413894,27.62,-0.11,0.0,-0.05,3,0,0
1753703414.7865999,56.75319004058838,0.0,1097,-0.06,0.11,0.98,-6.5,-3.4,11.9,-4.5,25.8,-38.4,1.23,-8.53,-8.52,0,28.03,999.51,0,127.0792388,37.5413894,27.62,-0.11,0.0,-0.05,3,0,0
1753703414.8858082,56.85239839553833,0.0,1187,-0.01,0.06,1.0,-3.9,-1.8,2.9,-4.7,26.0,-38.2,1.69,-7.79,-9.1,0,28.04,999.51,0,127.0792388,37.5413894,27.62,-0.11,0.0,-0.05,3,0,0
1753703415.2029147,57.16950488090515,0.0,1266,0.0,0.08,1.01,1.3,1.5,2.9,-4.2,25.8,-37.4,1.76,-7.62,-9.28,0,28.04,999.5,0,127.0792388,37.5413894,27.54,-0.06,0.01,-0.04,3,0,0
1753703415.8246577,57.791247844696045,0.0,1342,-0.01,0.11,0.99,0.4,-5.5,-2.3,-4.3,26.0,-38.0,1.81,-7.56,-9.24,0,28.04,999.5,0,127.0792388,37.5413894,27.54,-0.06,0.01,-0.04,3,0,0
1753703416.8615627,58.828152894973755,0.0,3126,-0.16,0.11,1.08,0.6,26.7,-14.7,-2.4,27.9,-37.0,-5.1,-6.01,-4.15,0,28.05,999.51,0,127.0792388,37.5413894,27.54,-0.06,0.01,-0.04,3,0,0
1753703416.954182,58.920772075653076,0.0,3201,-0.34,0.0,1.09,4.5,-0.1,-3.2,-1.8,28.1,-36.7,-6.91,-5.96,-2.83,0,28.05,999.51,0,127.0792388,37.5413894,27.54,-0.06,0.01,-0.04,3,0,0
