[Description]
Chute 0:,Not Ejected,Chute 1:,Attitude,Chute 2:,Altitude,Chute 3:,Timer,Chute 4:,Remote Forced
Launch 0:,Not Launched,Launch 1:,Launched
[Data]
TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz,Roll,Pitch,Yaw,maxG,T,P,P_alt,fix,Lon,Lat,Alt,VN,VE,VD,Chute,Launch,Canard1,Canard2,Canard3,Canard4
9,-0.18,-0.03,0.97,-0.40,-0.30,-0.60,41.30,0.40,-40.80,2.34,10.01,-0.30,0.97,42.41,1006.13,-0.02,0,0.0000000,0.0000000,0.00,0.00,0.00,0.00,0,0,1500,1500,1560,1530
24,-0.18,-0.04,0.97,-0.40,-0.40,-0.70,41.30,0.30,-40.60,2.34,10.01,-0.29,0.97,42.41,1006.13,-0.02,3,126.7849274,37.3936195,30.59,0.01,0.02,0.05,0,0,1500,1500,1560,1530
38,-0.18,-0.04,0.97,-0.40,-0.50,-0.90,41.10,0.40,-40.20,2.35,10.01,-0.29,0.97,42.41,1006.13,-0.02,3,126.7849274,37.3936195,30.59,0.01,0.02,0.05,0,0,1500,1500,1560,1530
53,-0.18,-0.04,0.97,-0.40,-0.40,-0.90,41.20,0.40,-40.00,2.36,10.01,-0.28,0.97,42.41,1006.13,-0.02,3,126.7849274,37.3936195,30.59,0.01,0.02,0.05,0,0,1500,1500,1560,1530
68,-0.18,-0.04,0.97,-0.30,-0.40,-0.70,40.90,0.40,-39.90,2.36,10.01,-0.28,0.97,42.41,1006.13,-0.02,3,126.7849274,37.3936195,30.56,0.02,0.00,0.02,0,0,1500,1500,1560,1530
297,-0.18,-0.03,0.97,-0.10,-0.50,-0.20,39.80,0.00,-39.60,2.37,10.02,-0.36,0.98,42.33,1006.17,-0.36,3,126.7849274,37.3936195,30.56,0.02,0.00,0.02,0,0,1500,1500,1560,1530
370,-0.18,-0.04,0.97,-0.10,-0.30,-0.30,40.00,1.20,-44.10,2.37,10.02,-0.38,0.98,42.33,1006.18,-0.37,3,126.7849274,37.3936195,30.56,0.02,0.00,0.02,0,0,1500,1500,1560,1530
449,-0.18,-0.04,0.97,0.00,-0.30,-0.10,40.10,1.60,-44.50,2.38,10.02,-0.29,0.98,42.33,1006.17,-0.35,3,126.7849274,37.3936195,30.55,0.01,0.01,0.04,0,0,1500,1500,1560,1530
522,-0.18,-0.04,0.97,0.00,-0.40,-0.20,41.20,2.30,-44.00,2.38,10.02,-0.06,0.98,42.33,1006.17,-0.31,3,126.7849274,37.3936195,30.55,0.01,0.01,0.04,0,0,1500,1500,1560,1530
600,-0.18,-0.04,0.97,0.00,-0.30,-0.20,41.50,2.40,-44.00,2.38,10.02,0.06,0.98,42.34,1006.17,-0.30,3,126.7849274,37.3936195,30.55,0.01,0.01,0.04,0,0,1500,1500,1560,1530
674,-0.18,-0.03,0.97,0.00,0.00,0.00,41.80,2.70,-41.70,2.38,10.02,0.28,0.98,42.35,1006.16,-0.27,3,126.7849274,37.3936195,30.55,0.01,0.01,0.04,0,0,1500,1500,1560,1530
748,-0.18,-0.03,0.97,0.00,-0.30,-0.10,41.30,2.60,-39.80,2.37,10.02,0.53,0.98,42.35,1006.16,-0.24,3,126.7849274,37.3936195,30.52,0.02,-0.00,0.07,0,0,1500,1500,1560,1530
827,-0.18,-0.03,0.97,0.00,-0.40,-0.30,41.20,1.70,-39.50,2.37,10.03,0.61,0.98,42.35,1006.16,-0.23,3,126.7849274,37.3936195,30.52,0.02,-0.00,0.07,0,0,1500,1500,1560,1530
900,-0.18,-0.04,0.97,-0.10,-0.30,-0.10,40.30,1.50,-39.10,2.37,10.02,0.71,0.98,42.36,1006.16,-0.21,3,126.7849274,37.3936195,30.52,0.02,-0.00,0.07,0,0,1500,1500,1560,1530
989,-0.18,-0.04,0.97,0.00,-0.30,-0.20,40.70,1.50,-38.80,2.38,10.02,0.80,0.98,42.36,1006.16,-0.21,3,126.7849274,37.3936195,30.51,0.02,0.01,0.00,0,0,1500,1500,1560,1530
1048,-0.18,-0.04,0.97,0.00,-0.40,0.00,40.70,1.20,-39.30,2.38,10.02,0.83,0.98,42.36,1006.16,-0.21,3,126.7849274,37.3936195,30.51,0.02,0.01,0.00,0,0,1500,1500,1560,1530
1141,-0.18,-0.04,0.97,0.00,-0.30,-0.20,40.60,1.00,-39.40,2.38,10.02,0.88,0.98,42.36,1006.15,-0.17,3,126.7849274,37.3936195,30.51,0.02,0.01,0.00,0,0,1500,1500,1560,1530
1199,-0.18,-0.03,0.97,0.00,-0.40,-0.20,41.10,1.50,-39.60,2.38,10.02,0.91,0.98,42.36,1006.15,-0.17,3,126.7849274,37.3936195,30.49,0.01,0.00,0.02,0,0,1500,1500,1560,1530
1275,-0.18,-0.03,0.98,0.00,0.00,0.00,35.70,-2.50,-37.00,2.37,10.01,0.94,0.99,42.36,1006.15,-0.18,3,126.7849274,37.3936195,30.49,0.01,0.00,0.02,0,0,1500,1500,1560,1530
1362,-0.18,-0.04,0.97,0.00,0.00,0.00,45.40,-1.20,-37.50,2.37,10.01,0.80,0.99,42.36,1006.16,-0.20,3,126.7849274,37.3936195,30.49,0.01,0.00,0.02,0,0,1500,1500,1560,1530
1427,-0.18,-0.04,0.97,0.00,-0.40,-0.10,45.40,-0.70,-37.30,2.37,10.01,0.70,0.99,42.36,1006.15,-0.14,3,126.7849274,37.3936195,30.49,0.01,0.00,0.02,0,0,1500,1500,1560,1530
1501,-0.18,-0.04,0.97,-0.10,-0.30,-0.20,45.50,-0.60,-37.50,2.38,10.01,0.46,0.99,42.37,1006.15,-0.15,3,126.7849274,37.3936195,30.48,0.01,0.00,0.00,0,0,1500,1500,1560,1530
1588,-0.18,-0.04,0.97,0.00,-0.40,-0.20,45.90,-0.90,-37.30,2.38,10.02,0.23,0.99,42.36,1006.15,-0.17,3,126.7849274,37.3936195,30.48,0.01,0.00,0.00,0,0,1500,1500,1560,1530
1651,-0.18,-0.03,0.97,0.00,-0.30,-0.10,45.10,-1.20,-37.50,2.38,10.02,0.13,0.99,42.37,1006.15,-0.19,3,126.7849274,37.3936195,30.48,0.01,0.00,0.00,0,0,1500,1500,1560,1530
1725,-0.18,-0.04,0.97,0.00,-0.50,-0.30,45.90,-0.70,-37.40,2.37,10.02,-0.05,0.99,42.37,1006.15,-0.17,3,126.7849274,37.3936195,30.46,-0.01,-0.00,-0.04,0,0,1500,1500,1560,1530
1801,-0.18,-0.04,0.97,0.00,-0.50,-0.20,45.60,-0.90,-37.50,2.37,10.01,-0.14,0.99,42.37,1006.15,-0.15,3,126.7849274,37.3936195,30.46,-0.01,-0.00,-0.04,0,0,1500,1500,1560,1530
1900,-0.18,-0.04,0.97,0.00,-0.40,-0.20,45.00,-1.30,-37.60,2.37,10.01,-0.41,0.99,42.37,1006.15,-0.14,3,126.7849274,37.3936195,30.46,-0.01,-0.00,-0.04,0,0,1500,1500,1560,1530
1963,-0.18,-0.04,0.97,0.00,-0.30,-0.20,45.20,-1.20,-37.10,2.37,10.01,-0.48,0.99,42.38,1006.15,-0.17,3,126.7849274,37.3936195,30.46,-0.00,-0.00,-0.02,0,0,1500,1500,1560,1530
2025,-0.18,-0.04,0.97,0.00,-0.30,0.00,45.10,-0.60,-37.30,2.37,10.01,-0.54,0.99,42.38,1006.15,-0.18,3,126.7849274,37.3936195,30.46,-0.00,-0.00,-0.02,0,0,1500,1500,1560,1530
2112,-0.18,-0.04,0.97,0.00,-0.40,-0.10,45.60,-0.90,-37.10,2.38,10.01,-0.70,0.99,42.38,1006.15,-0.15,3,126.7849274,37.3936195,30.46,-0.00,-0.00,-0.02,0,0,1500,1500,1560,1530
2185,-0.18,-0.03,0.97,0.00,-0.30,-0.10,45.30,-1.10,-37.50,2.37,10.01,-0.80,0.99,42.38,1006.15,-0.15,3,126.7849274,37.3936195,30.44,-0.01,-0.00,0.07,0,0,1500,1500,1560,1530
2260,-0.18,-0.04,0.97,-0.10,-0.30,-0.20,42.20,0.80,-39.00,2.34,10.02,-0.78,0.99,42.38,1006.15,-0.16,3,126.7849274,37.3936195,30.44,-0.01,-0.00,0.07,0,0,1500,1500,1560,1530
2338,-0.18,-0.04,0.97,0.00,-0.40,0.00,40.20,1.20,-39.30,2.34,10.02,-0.69,0.99,42.38,1006.15,-0.16,3,126.7849274,37.3936195,30.44,-0.01,-0.00,0.07,0,0,1500,1500,1560,1530
2415,-0.18,-0.04,0.97,0.00,0.00,0.00,40.30,1.30,-39.50,2.35,10.02,-0.57,0.99,42.38,1006.15,-0.15,3,126.7849274,37.3936195,30.44,-0.01,-0.00,0.07,0,0,1500,1500,1560,1530
2488,-0.18,-0.04,0.97,-0.10,-0.30,-0.20,40.80,1.90,-39.20,2.36,10.02,-0.36,0.99,42.38,1006.15,-0.13,3,126.7849274,37.3936195,30.42,-0.00,-0.00,0.02,0,0,1500,1500,1560,1530
2561,-0.18,-0.03,0.97,0.00,-0.40,0.00,40.80,1.70,-38.70,2.36,10.02,-0.17,0.99,42.38,1006.15,-0.17,3,126.7849274,37.3936195,30.42,-0.00,-0.00,0.02,0,0,1500,1500,1560,1530
2634,-0.18,-0.04,0.97,0.00,-0.30,-0.30,40.30,1.50,-39.40,2.36,10.02,0.01,0.99,42.38,1006.15,-0.16,3,126.7849274,37.3936195,30.42,-0.00,-0.00,0.02,0,0,1500,1500,1560,1530
2711,-0.18,-0.03,0.97,0.00,-0.30,-0.10,40.90,1.90,-39.00,2.36,10.02,0.10,0.99,42.38,1006.15,-0.19,3,126.7849274,37.3936195,30.40,-0.01,0.01,0.04,0,0,1500,1500,1560,1530
2799,-0.18,-0.03,0.97,0.00,-0.40,-0.10,40.70,1.80,-39.30,2.35,10.02,0.28,0.99,42.37,1006.16,-0.21,3,126.7849274,37.3936195,30.40,-0.01,0.01,0.04,0,0,1500,1500,1560,1530
2872,-0.18,-0.04,0.97,-0.10,-0.50,-0.10,40.50,2.20,-39.10,2.35,10.02,0.44,0.99,42.38,1006.16,-0.21,3,126.7849274,37.3936195,30.40,-0.01,0.01,0.04,0,0,1500,1500,1560,1530
2936,-0.18,-0.04,0.97,0.00,-0.40,-0.10,40.30,1.80,-38.90,2.36,10.02,0.50,0.99,42.38,1006.16,-0.21,3,126.7849274,37.3936195,30.38,0.01,-0.01,-0.02,0,0,1500,1500,1560,1530
3011,-0.18,-0.04,0.97,-0.10,-0.30,-0.10,40.30,1.60,-38.40,2.36,10.02,0.56,0.99,42.38,1006.15,-0.17,3,126.7849274,37.3936195,30.38,0.01,-0.01,-0.02,0,0,1500,1500,1560,1530
3110,-0.18,-0.04,0.97,0.00,-0.40,-0.20,40.50,2.10,-38.90,2.37,10.02,0.77,0.99,42.38,1006.15,-0.16,3,126.7849274,37.3936195,30.38,0.01,-0.01,-0.02,0,0,1500,1500,1560,1530
3174,-0.18,-0.04,0.98,0.00,-0.30,-0.10,40.60,1.70,-39.20,2.37,10.02,0.82,0.99,42.38,1006.15,-0.17,3,126.7849274,37.3936195,30.38,0.01,-0.01,-0.02,0,0,1500,1500,1560,1530
3236,-0.14,-0.04,1.00,0.00,0.00,0.00,23.70,-12.10,-30.80,2.37,10.02,0.85,1.00,42.38,1006.15,-0.16,3,126.7849274,37.3936195,30.37,-0.01,-0.02,-0.01,0,0,1500,1500,1560,1530
3325,-0.18,-0.03,0.97,0.00,-0.40,-0.10,44.00,-1.70,-41.20,2.37,10.03,0.87,1.00,42.38,1006.15,-0.16,3,126.7849274,37.3936195,30.37,-0.01,-0.02,-0.01,0,0,1500,1500,1560,1530
3398,-0.18,-0.04,0.97,0.00,-0.40,-0.20,44.30,-1.90,-41.70,2.37,10.03,0.88,1.00,42.38,1006.15,-0.15,3,126.7849274,37.3936195,30.37,-0.01,-0.02,-0.01,0,0,1500,1500,1560,1530
3475,-0.18,-0.04,0.97,0.00,-0.40,-0.20,44.00,-1.80,-41.80,2.37,10.03,0.89,1.00,42.38,1006.15,-0.15,3,126.7849274,37.3936195,30.36,0.00,0.00,0.00,0,0,1500,1500,1560,1530
3534,-0.18,-0.04,0.97,0.00,-0.30,0.00,43.90,-1.80,-41.60,2.38,10.03,0.90,1.00,42.38,1006.15,-0.16,3,126.7849274,37.3936195,30.36,0.00,0.00,0.00,0,0,1500,1500,1560,1530
3634,-0.18,-0.04,0.97,0.00,-0.30,-0.10,44.20,-1.80,-41.50,2.37,10.03,0.92,1.00,42.39,1006.15,-0.16,3,126.7849274,37.3936195,30.36,0.00,0.00,0.00,0,0,1500,1500,1560,1530
3709,-0.18,-0.03,0.97,0.00,-0.30,-0.10,44.80,-2.00,-41.50,2.37,10.03,0.93,1.00,42.39,1006.15,-0.13,3,126.7849274,37.3936195,30.36,-0.01,0.01,-0.02,0,0,1500,1500,1560,1530
3771,-0.18,-0.03,0.97,-0.10,-0.30,-0.30,44.50,-2.00,-41.40,2.36,10.03,0.94,1.00,42.39,1006.15,-0.15,3,126.7849274,37.3936195,30.36,-0.01,0.01,-0.02,0,0,1500,1500,1560,1530
3849,-0.18,-0.03,0.97,0.00,-0.30,-0.10,44.50,-2.20,-41.30,2.36,10.03,0.95,1.00,42.39,1006.15,-0.19,3,126.7849274,37.3936195,30.36,-0.01,0.01,-0.02,0,0,1500,1500,1560,1530
3923,-0.18,-0.04,0.97,0.00,-0.40,-0.20,44.40,-2.40,-41.40,2.36,10.03,0.97,1.00,42.39,1006.15,-0.20,3,126.7849274,37.3936195,30.36,-0.01,0.01,-0.02,0,0,1500,1500,1560,1530
3997,-0.18,-0.04,0.97,0.00,-0.30,-0.30,44.80,-2.20,-41.30,2.37,10.02,0.98,1.00,42.39,1006.15,-0.19,3,126.7849274,37.3936195,30.35,0.03,-0.01,-0.02,0,0,1500,1500,1560,1530
4073,-0.18,-0.03,0.97,0.00,-0.50,0.00,44.30,-2.10,-41.30,2.37,10.02,0.99,1.00,42.38,1006.15,-0.18,3,126.7849274,37.3936195,30.35,0.03,-0.01,-0.02,0,0,1500,1500,1560,1530
4147,-0.18,-0.04,0.97,0.00,-0.30,-0.20,44.40,-2.20,-41.40,2.37,10.02,1.01,1.00,42.38,1006.16,-0.20,3,126.7849274,37.3936195,30.35,0.03,-0.01,-0.02,0,0,1500,1500,1560,1530
4219,-0.20,-0.06,0.99,-0.10,-0.30,0.00,33.00,-8.00,-36.30,2.37,10.02,1.02,1.00,42.38,1006.15,-0.19,3,126.7849274,37.3936195,30.35,-0.01,0.01,0.00,0,0,1500,1500,1560,1530
4298,-0.18,-0.04,0.97,0.00,-0.40,-0.40,42.50,-0.80,-36.70,2.36,10.02,0.99,1.00,42.38,1006.16,-0.21,3,126.7849274,37.3936195,30.35,-0.01,0.01,0.00,0,0,1500,1500,1560,1530
4386,-0.18,-0.04,0.97,0.00,-0.30,-0.10,40.00,0.10,-39.50,2.36,10.02,0.84,1.00,42.38,1006.15,-0.20,3,126.7849274,37.3936195,30.35,-0.01,0.01,0.00,0,0,1500,1500,1560,1530
4449,-0.18,-0.04,0.97,-0.10,-0.50,-0.30,40.00,0.10,-40.20,2.36,10.02,0.78,1.00,42.39,1006.16,-0.22,3,126.7849274,37.3936195,30.34,-0.01,-0.01,0.05,0,0,1500,1500,1560,1530
4522,-0.18,-0.04,0.97,0.00,-0.40,0.00,40.20,0.20,-39.70,2.37,10.02,0.66,1.00,42.39,1006.15,-0.18,3,126.7849274,37.3936195,30.34,-0.01,-0.01,0.05,0,0,1500,1500,1560,1530
4609,-0.18,-0.03,0.98,0.00,-0.30,-0.20,39.90,0.50,-40.00,2.37,10.02,0.55,1.00,42.39,1006.15,-0.15,3,126.7849274,37.3936195,30.34,-0.01,-0.01,0.05,0,0,1500,1500,1560,1530
4673,-0.18,-0.04,0.97,0.00,-0.30,-0.20,40.10,0.20,-40.20,2.37,10.02,0.50,1.00,42.38,1006.15,-0.16,3,126.7849274,37.3936195,30.32,-0.01,-0.00,-0.01,0,0,1490,1515,1580,1530
4747,-0.18,-0.03,0.97,-0.10,-0.40,0.00,39.60,0.40,-39.70,2.37,10.02,0.42,1.00,42.38,1006.15,-0.19,3,126.7849274,37.3936195,30.32,-0.01,-0.00,-0.01,0,0,1490,1515,1580,1530
4835,-0.18,-0.03,0.97,0.00,-0.30,-0.10,39.80,0.40,-39.30,2.36,10.02,0.32,1.00,42.38,1006.16,-0.21,3,126.7849274,37.3936195,30.32,-0.01,-0.00,-0.01,0,0,1490,1515,1580,1530
4912,-0.18,-0.04,0.97,-0.10,-0.30,-0.10,39.70,0.20,-39.70,2.37,10.02,0.28,1.00,42.38,1006.15,-0.20,3,126.7849274,37.3936195,30.32,-0.01,-0.00,-0.01,0,0,1490,1515,1580,1530
4986,-0.18,-0.04,0.97,0.00,0.00,0.00,39.90,0.40,-39.50,2.37,10.02,0.22,1.00,42.38,1006.16,-0.20,3,126.7849274,37.3936195,30.30,-0.00,0.00,0.04,0,0,1490,1515,1580,1530
5059,-0.18,-0.04,0.97,0.00,-0.40,-0.20,39.90,0.30,-39.10,2.38,10.02,0.14,1.00,42.38,1006.16,-0.22,3,126.7849274,37.3936195,30.30,-0.00,0.00,0.04,0,0,1490,1515,1580,1530
5137,-0.18,-0.04,0.97,0.00,-0.40,-0.20,40.00,0.40,-39.50,2.38,10.02,0.10,1.00,42.38,1006.16,-0.21,3,126.7849274,37.3936195,30.30,-0.00,0.00,0.04,0,0,1490,1515,1580,1530
5211,-0.18,-0.04,0.97,0.00,-0.30,0.00,39.80,0.10,-39.90,2.38,10.02,0.04,1.00,42.38,1006.15,-0.20,3,126.7849274,37.3936195,30.29,-0.01,0.01,0.07,0,0,1490,1515,1580,1530
5286,-0.18,-0.03,0.97,0.00,-0.30,-0.10,40.10,0.30,-39.60,2.37,10.02,0.00,1.00,42.39,1006.16,-0.23,3,126.7849274,37.3936195,30.29,-0.01,0.01,0.07,0,0,1490,1515,1580,1530
5364,-0.18,-0.04,0.97,0.00,-0.30,-0.20,40.10,0.10,-39.30,2.37,10.02,-0.03,1.00,42.39,1006.16,-0.20,3,126.7849274,37.3936195,30.29,-0.01,0.01,0.07,0,0,1490,1515,1580,1530
5452,-0.18,-0.04,0.97,-0.10,-0.30,-0.20,39.60,0.00,-39.40,2.38,10.02,-0.13,1.00,42.39,1006.15,-0.19,3,126.7849274,37.3936195,30.29,-0.01,0.01,0.07,0,0,1490,1515,1580,1530
5527,-0.18,-0.04,0.97,0.00,-0.30,-0.40,39.90,0.00,-39.70,2.38,10.02,-0.19,1.00,42.38,1006.16,-0.20,3,126.7849274,37.3936195,30.27,-0.00,-0.00,-0.01,0,0,1490,1515,1580,1530
5586,-0.18,-0.04,0.97,0.00,-0.30,-0.20,39.90,0.00,-39.50,2.38,10.02,-0.23,1.00,42.38,1006.16,-0.20,3,126.7849274,37.3936195,30.27,-0.00,-0.00,-0.01,0,0,1490,1515,1580,1530
5681,-0.18,-0.03,0.97,0.00,-0.30,-0.10,39.80,-0.10,-39.80,2.38,10.02,-0.31,1.00,42.38,1006.15,-0.15,3,126.7849274,37.3936195,30.27,-0.00,-0.00,-0.01,0,0,1490,1515,1580,1530
5740,-0.18,-0.04,0.97,0.00,-0.30,-0.20,39.70,-0.30,-39.40,2.38,10.02,-0.35,1.00,42.38,1006.15,-0.15,3,126.7849274,37.3936195,30.26,-0.00,0.01,0.03,0,0,1490,1515,1580,1530
5812,-0.18,-0.04,0.97,0.00,-0.40,-0.20,39.60,0.00,-40.10,2.38,10.02,-0.42,1.00,42.38,1006.15,-0.18,3,126.7849274,37.3936195,30.26,-0.00,0.01,0.03,0,0,1490,1515,1580,1530
5892,-0.18,-0.04,0.97,0.00,-0.30,-0.20,39.90,0.00,-39.80,2.38,10.02,-0.46,1.00,42.38,1006.15,-0.19,3,126.7849274,37.3936195,30.26,-0.00,0.01,0.03,0,0,1490,1515,1580,1530
5967,-0.18,-0.04,0.97,0.00,-0.30,-0.10,39.80,0.00,-39.60,2.38,10.02,-0.51,1.00,42.39,1006.15,-0.19,3,126.7849274,37.3936195,30.26,0.01,-0.02,-0.04,0,0,1490,1515,1580,1530
6041,-0.18,-0.04,0.97,0.00,-0.30,-0.10,40.00,0.10,-39.60,2.39,10.02,-0.56,1.00,42.38,1006.15,-0.19,3,126.7849274,37.3936195,30.26,0.01,-0.02,-0.04,0,0,1490,1515,1580,1530
6119,-0.18,-0.03,0.97,0.00,-0.30,-0.30,40.00,0.30,-39.50,2.38,10.02,-0.59,1.00,42.38,1006.16,-0.21,3,126.7849274,37.3936195,30.26,0.01,-0.02,-0.04,0,0,1490,1515,1580,1530
6195,-0.18,-0.04,0.97,-0.10,-0.30,-0.20,39.90,0.20,-39.60,2.38,10.02,-0.62,1.00,42.38,1006.16,-0.22,3,126.7849274,37.3936195,30.27,-0.01,-0.02,-0.08,0,0,1490,1515,1580,1530
6258,-0.18,-0.03,0.97,0.00,-0.30,-0.10,40.20,0.00,-39.70,2.38,10.02,-0.64,1.00,42.38,1006.16,-0.24,3,126.7849274,37.3936195,30.27,-0.01,-0.02,-0.08,0,0,1490,1515,1580,1530
6348,-0.18,-0.03,0.97,-0.10,-0.30,-0.20,39.70,-0.30,-39.60,2.37,10.02,-0.69,1.00,42.38,1006.16,-0.20,3,126.7849274,37.3936195,30.27,-0.01,-0.02,-0.08,0,0,1490,1515,1580,1530
6422,-0.18,-0.03,0.97,0.00,-0.40,-0.10,39.70,0.40,-40.00,2.38,10.02,-0.71,1.00,42.38,1006.16,-0.22,3,126.7849274,37.3936195,30.27,-0.01,-0.02,-0.08,0,0,1490,1515,1580,1530
6485,-0.18,-0.04,0.97,0.00,-0.40,-0.20,39.80,0.00,-39.50,2.38,10.02,-0.71,1.00,42.38,1006.16,-0.24,3,126.7849274,37.3936195,30.26,-0.01,-0.02,-0.01,0,0,1490,1515,1580,1530
6575,-0.18,-0.04,0.97,0.00,-0.40,-0.10,39.80,0.20,-39.80,2.38,10.02,-0.75,1.00,42.38,1006.16,-0.27,3,126.7849274,37.3936195,30.26,-0.01,-0.02,-0.01,0,0,1490,1515,1580,1530
6649,-0.18,-0.04,0.97,0.00,-0.30,-0.10,39.90,-0.10,-40.00,2.39,10.02,-0.80,1.00,42.38,1006.16,-0.25,3,126.7849274,37.3936195,30.26,-0.01,-0.02,-0.01,0,0,1490,1515,1580,1530
6712,-0.18,-0.03,0.97,0.00,-0.30,-0.20,39.40,0.00,-39.50,2.39,10.02,-0.81,1.00,42.38,1006.16,-0.25,3,126.7849274,37.3936195,30.26,0.02,0.00,-0.01,0,0,1490,1515,1580,1530
6788,-0.18,-0.03,0.97,-0.10,-0.30,-0.10,39.40,0.00,-39.60,2.38,10.02,-0.83,1.00,42.38,1006.16,-0.21,3,126.7849274,37.3936195,30.26,0.02,0.00,-0.01,0,0,1490,1515,1580,1530
6876,-0.18,-0.03,0.97,-0.10,-0.40,-0.20,39.70,0.00,-39.60,2.38,10.02,-0.87,1.00,42.39,1006.15,-0.20,3,126.7849274,37.3936195,30.26,0.02,0.00,-0.01,0,0,1490,1515,1580,1530
6940,-0.18,-0.04,0.97,-0.10,-0.30,-0.20,40.00,-0.10,-39.90,2.38,10.02,-0.89,1.00,42.38,1006.15,-0.20,3,126.7849274,37.3936195,30.24,-0.02,-0.01,0.01,0,0,1490,1515,1580,1530
7013,-0.18,-0.04,0.97,-0.10,-0.40,-0.20,39.90,-0.20,-39.90,2.38,10.02,-0.92,1.00,42.38,1006.15,-0.20,3,126.7849274,37.3936195,30.24,-0.02,-0.01,0.01,0,0,1490,1515,1580,1530
7102,-0.18,-0.04,0.97,0.00,-0.40,-0.20,39.70,-0.10,-39.50,2.39,10.02,-0.94,1.00,42.38,1006.16,-0.23,3,126.7849274,37.3936195,30.24,-0.02,-0.01,0.01,0,0,1490,1515,1580,1530
7180,-0.18,-0.04,0.97,0.00,-0.40,-0.20,39.60,-0.20,-40.00,2.39,10.02,-0.96,1.00,42.39,1006.16,-0.23,3,126.7849274,37.3936195,30.24,-0.02,-0.01,0.01,0,0,1490,1515,1580,1530
7255,-0.18,-0.03,0.97,0.00,-0.40,-0.20,39.50,0.00,-39.00,2.39,10.02,-0.98,1.00,42.39,1006.16,-0.25,3,126.7849274,37.3936195,30.23,0.01,0.01,0.07,0,0,1490,1515,1580,1530
7328,-0.18,-0.04,0.97,0.00,-0.30,-0.20,40.00,0.10,-39.60,2.38,10.02,-0.97,1.00,42.39,1006.16,-0.26,3,126.7849274,37.3936195,30.23,0.01,0.01,0.07,0,0,1490,1515,1580,1530
7407,-0.18,-0.04,0.97,0.00,-0.30,-0.20,40.30,-0.10,-39.40,2.38,10.02,-0.98,1.00,42.39,1006.16,-0.28,3,126.7849274,37.3936195,30.23,0.01,0.01,0.07,0,0,1490,1515,1580,1530
7480,-0.18,-0.04,0.97,0.00,-0.40,-0.20,40.20,-0.20,-39.80,2.38,10.02,-0.98,1.00,42.38,1006.17,-0.30,3,126.7849274,37.3936195,30.21,0.01,0.03,0.02,0,0,1490,1515,1580,1530
7539,-0.18,-0.04,0.97,0.00,-0.40,-0.10,39.80,0.00,-39.70,2.38,10.02,-0.98,1.00,42.38,1006.17,-0.30,3,126.7849274,37.3936195,30.21,0.01,0.03,0.02,0,0,1490,1515,1580,1530
7629,-0.18,-0.04,0.97,0.00,-0.40,-0.20,39.90,-0.30,-39.80,2.39,10.02,-1.01,1.00,42.39,1006.17,-0.30,3,126.7849274,37.3936195,30.21,0.01,0.03,0.02,0,0,1490,1515,1580,1530
7702,-0.18,-0.04,0.97,0.00,-0.40,-0.30,39.70,0.00,-39.80,2.38,10.02,-1.03,1.00,42.38,1006.17,-0.31,3,126.7849274,37.3936195,30.19,0.00,0.01,0.03,0,0,1490,1515,1580,1530
7781,-0.18,-0.03,0.97,0.00,-0.30,-0.20,39.70,0.00,-39.50,2.38,10.02,-1.04,1.00,42.38,1006.17,-0.29,3,126.7849274,37.3936195,30.19,0.00,0.01,0.03,0,0,1490,1515,1580,1530
7857,-0.18,-0.03,0.97,0.00,-0.30,-0.20,39.50,0.10,-39.60,2.38,10.02,-1.05,1.00,42.38,1006.17,-0.29,3,126.7849274,37.3936195,30.19,0.00,0.01,0.03,0,0,1490,1515,1580,1530
7929,-0.18,-0.04,0.97,0.00,-0.40,-0.20,40.00,-0.20,-39.90,2.38,10.02,-1.07,1.00,42.38,1006.16,-0.27,3,126.7849274,37.3936157,30.18,-0.01,-0.01,0.00,0,0,1490,1515,1580,1530
8008,-0.18,-0.04,0.97,-0.10,-0.30,0.00,39.70,0.00,-39.80,2.38,10.02,-1.08,1.00,42.38,1006.16,-0.25,3,126.7849274,37.3936157,30.18,-0.01,-0.01,0.00,0,0,1490,1515,1580,1530
8083,-0.18,-0.04,0.97,0.00,-0.30,-0.10,40.20,0.00,-39.30,2.39,10.02,-1.09,1.00,42.38,1006.16,-0.24,3,126.7849274,37.3936157,30.18,-0.01,-0.01,0.00,0,0,1490,1515,1580,1530
8172,-0.18,-0.04,0.97,0.00,-0.30,0.00,39.50,-0.10,-39.80,2.39,10.02,-1.10,1.00,42.38,1006.15,-0.19,3,126.7849274,37.3936157,30.18,-0.01,-0.01,0.00,0,0,1490,1515,1580,1530
8236,-0.18,-0.04,0.97,0.00,-0.30,-0.10,40.00,0.20,-39.90,2.39,10.02,-1.09,1.00,42.39,1006.15,-0.18,3,126.7849274,37.3936157,30.18,-0.00,0.01,-0.03,0,0,1490,1515,1580,1530
8311,-0.18,-0.04,0.97,0.00,-0.30,-0.10,39.50,0.10,-39.90,2.39,10.02,-1.08,1.00,42.39,1006.16,-0.22,3,126.7849274,37.3936157,30.18,-0.00,0.01,-0.03,0,0,1490,1515,1580,1530
