timestamp,local_timestamp,roll,pitch,yaw,P_alt,Alt,ax,ay,az,lat,lon,temp,pressure,vel_n,vel_e,vel_d,ejection
0.0,1752853868.9782205,3.09,-28.28,-1.33,0.02,0.0,-0.55,-0.07,0.83,0.0,0.0,22.69,1005.35,0.0,0.0,0.0,0
0.088,1752853869.0570087,3.11,-28.23,-1.42,655.18,0.0,-0.51,0.0,0.87,0.0,0.0,22.63,1005.37,0.0,0.0,0.0,0
0.178,1752853869.251722,3.11,-28.18,-1.41,655.14,0.0,-0.47,0.03,0.88,0.0,0.0,22.61,1005.38,0.0,0.0,0.0,0
0.237,1752853869.441073,3.12,-28.11,-1.37,655.14,0.0,-0.44,0.05,0.9,0.0,0.0,22.61,1005.38,0.0,0.0,0.0,0
0.276,1752853869.6211808,3.12,-28.11,-1.37,655.14,0.0,-0.44,0.05,0.9,0.0,0.0,22.6,1005.38,0.0,0.0,0.0,0
0.444,1752853869.8031666,1.38,-3.09,27.71,655.14,0.0,-0.05,0.01,0.99,0.0,0.0,22.59,1005.38,0.0,0.0,0.0,0
0.667,1752853869.9943657,1.38,-3.09,27.71,655.09,0.0,-0.05,0.01,0.98,0.0,0.0,22.57,1005.38,0.0,0.0,0.0,0
0.799,1752853870.174523,1.38,-3.09,27.71,655.07,0.0,-0.05,0.01,0.93,0.0,0.0,22.57,1005.39,0.0,0.0,0.0,0
1.071,1752853870.365248,1.38,-3.09,27.71,655.08,0.0,-0.05,0.01,0.98,0.0,0.0,22.56,1005.39,0.0,0.0,0.0,0
1.173,1752853870.5368776,1.38,-3.09,27.71,655.11,0.0,-0.05,-0.05,0.01,0.0,0.0,22.55,1005.38,0.0,0.0,0.0,0
1.4,1752853870.729407,1.38,-3.09,27.71,655.17,0.0,-0.05,0.01,0.99,0.0,0.0,22.56,1005.37,0.0,0.0,0.0,0
1.534,1752853870.9081829,1.38,-3.09,27.7,655.14,0.0,-0.05,0.01,0.99,0.0,0.0,22.55,1005.38,0.0,0.0,0.0,0
1.742,1752853871.098423,1.38,-3.09,27.7,655.16,0.0,-0.05,0.01,0.99,0.0,0.0,22.55,1005.38,0.0,0.0,0.0,0
1.919,1752853871.2777047,1.38,-3.09,27.7,655.08,0.0,-0.05,0.01,0.99,0.0,0.0,22.53,1005.39,0.0,0.0,0.0,0
2.098,1752853871.46579,1.38,-3.09,27.7,655.09,0.0,-0.05,0.01,0.98,0.0,0.0,22.53,1005.38,0.0,0.0,0.0,0
2.332,1752853871.6556344,1.39,-3.09,27.7,655.16,0.0,-0.05,0.02,0.99,0.0,0.0,22.54,1005.38,0.0,0.0,0.0,0
2.47,1752853871.844099,1.39,-3.09,27.7,655.17,0.0,-0.05,0.01,0.99,0.0,0.0,22.53,1005.38,0.0,0.0,0.0,0
2.694,1752853872.0128472,1.39,-3.09,27.7,655.24,0.0,-0.05,0.01,0.98,0.0,0.0,22.53,1005.37,0.0,0.0,0.0,0
2.851,1752853872.2033887,1.39,-3.09,27.7,655.27,0.0,-0.05,0.01,0.98,0.0,0.0,22.53,1005.36,0.0,0.0,0.0,0
3.096,1752853872.3929675,1.39,-3.09,27.7,655.3,0.0,-0.05,0.01,0.98,0.0,0.0,22.54,1005.36,0.0,0.0,0.0,0
3.223,1752853872.5828907,1.39,-3.09,27.7,655.28,0.0,-0.05,0.01,0.98,0.0,0.0,22.54,1005.36,0.0,0.0,0.0,0
3.408,1752853872.7510912,1.39,-3.09,27.7,655.27,0.0,-0.05,0.01,0.99,0.0,0.0,22.54,1005.36,0.0,0.0,0.0,0
3.624,1752853872.9405527,1.38,-3.09,27.7,655.27,0.0,-0.05,0.01,0.99,0.0,0.0,22.53,1005.36,0.0,0.0,0.0,0
3.757,1752853873.1312344,1.39,-3.09,27.7,655.3,0.0,-0.05,0.01,0.99,0.0,0.0,22.53,1005.36,0.0,0.0,0.0,0
4.0,1752853873.3096745,1.39,-3.09,27.7,655.33,0.0,-0.05,0.01,0.99,0.0,0.0,22.54,1005.36,0.0,0.0,0.0,0
4.138,1752853873.499204,1.38,-3.09,27.7,0.0,0.0,-0.05,0.01,0.99,0.0,0.0,22.55,1005.35,0.0,0.0,0.0,0
4.335,1752853873.688976,1.38,-3.09,27.7,655.35,0.0,-0.05,0.01,0.99,0.0,0.0,22.54,1005.35,0.0,0.0,0.0,0
4.524,1752853873.8776472,1.39,-3.09,27.7,0.0,0.0,-0.05,0.01,0.99,0.0,0.0,22.54,1005.35,0.0,0.0,0.0,0
4.683,1752853874.0463085,1.39,-3.09,27.7,655.26,0.0,-0.05,0.01,0.99,0.0,0.0,22.52,1005.36,0.0,0.0,0.0,0
4.89,1752853874.2370815,1.39,-3.09,27.7,655.31,0.0,-0.05,0.01,0.0,0.0,0.0,22.53,1005.36,0.0,0.0,0.0,0
5.064,1752853874.424938,1.38,-3.09,27.7,655.31,0.0,-0.05,0.01,0.98,0.0,0.0,22.53,1005.36,0.0,0.0,0.0,0
5.298,1752853874.6145551,1.39,-3.09,27.7,655.34,0.0,-0.05,0.01,0.99,0.0,0.0,22.53,1005.35,0.0,0.0,0.0,0
5.445,1752853874.793189,1.39,-3.09,27.7,655.29,0.0,-0.05,0.02,0.98,0.0,0.0,22.52,1005.36,0.0,0.0,0.0,0
5.624,1752853874.9812632,1.39,-3.09,27.7,655.29,0.0,-0.05,0.01,0.98,0.0,0.0,22.52,1005.36,0.0,0.0,0.0,0
5.789,1752853875.1605349,1.39,-3.09,27.7,655.29,0.0,-0.05,0.01,0.98,0.0,0.0,22.52,1005.36,0.0,0.0,0.0,0
5.985,1752853875.3483405,1.39,-3.09,27.7,0.0,0.0,-0.05,0.01,0.99,0.0,0.0,22.52,1005.35,0.0,0.0,0.0,0
6.159,1752853875.5291188,1.39,-3.09,27.7,655.35,0.0,-0.05,0.01,0.98,0.0,0.0,22.52,1005.35,0.0,0.0,0.0,0
6.369,1752853875.7183142,1.39,-3.09,27.7,655.32,0.0,-0.05,0.01,0.98,0.0,0.0,22.52,1005.36,0.0,0.0,0.0,0
6.548,1752853875.8980753,1.39,-3.09,27.7,655.34,0.0,-0.05,0.01,0.99,0.0,0.0,22.52,1005.35,0.0,0.0,0.0,0
6.718,1752853876.0890462,1.39,-3.09,27.7,655.28,0.0,-0.05,0.01,0.99,0.0,0.0,22.5,1005.36,0.0,0.0,0.0,0
6.934,1752853876.2686443,1.39,-3.09,27.7,655.26,0.0,-0.05,0.01,0.98,0.0,0.0,22.5,1005.36,0.0,0.0,0.0,0
7.082,1752853876.4483325,1.39,-3.09,27.7,655.28,0.0,-0.05,0.01,0.99,0.0,0.0,22.5,1005.36,0.0,0.0,0.0,0
7.308,1752853876.6390843,1.39,-3.09,27.7,655.27,0.0,-0.05,0.01,0.98,0.0,0.0,22.49,1005.36,0.0,0.0,0.0,0
7.53,1752853876.8302822,1.39,-3.09,27.7,655.2,0.0,-0.05,0.01,0.99,0.0,0.0,22.48,1005.37,0.0,0.0,0.0,0
7.687,1752853877.0093608,1.39,-3.09,27.7,655.21,0.0,-0.05,0.01,0.98,0.0,0.0,22.48,1005.37,0.0,0.0,0.0,0
7.823,1752853877.1989248,1.39,-3.09,27.7,655.16,0.0,-0.05,0.01,0.98,0.0,0.0,22.47,1005.38,0.0,0.0,0.0,0
8.012,1752853877.3883188,1.39,-3.09,27.7,655.18,0.0,-0.05,0.01,0.98,0.0,0.0,22.47,1005.37,0.0,0.0,0.0,0
8.207,1752853877.5561063,1.39,-3.09,27.7,655.2,0.0,-0.05,0.01,0.99,0.0,0.0,22.48,1005.37,0.0,0.0,0.0,0
8.463,1752853877.745677,1.4,-3.09,27.7,655.19,0.0,-0.05,0.01,0.98,0.0,0.0,22.48,1005.37,0.0,0.0,0.0,0
8.601,1752853877.9352605,1.39,-3.09,27.7,655.23,0.0,-0.05,0.01,0.99,0.0,0.0,22.47,1005.37,0.0,0.0,0.0,3
8.821,1752853878.1257153,1.39,-3.09,27.7,655.18,0.0,-0.05,0.01,0.99,0.0,0.0,22.48,1005.37,0.0,0.0,0.0,3
8.943,1752853878.293756,1.39,-3.09,27.7,655.16,0.0,-0.05,0.01,0.99,0.0,0.0,22.47,1005.38,0.0,0.0,0.0,3
9.111,1752853878.4838548,1.39,-3.09,27.7,655.21,0.0,-0.05,0.01,0.99,0.0,0.0,22.48,1005.37,0.0,0.0,0.0,3
9.326,1752853878.6730957,1.39,-3.09,27.7,655.21,0.0,0.0,-3.09,27.7,0.0,0.0,22.47,1005.37,0.0,0.0,0.0,3
9.528,1752853878.8650577,1.39,-3.1,27.7,655.19,0.0,-0.06,0.01,0.99,0.0,0.0,22.47,1005.37,0.0,0.0,0.0,3
9.704,1752853879.0436695,1.4,-3.11,27.7,655.18,0.0,-0.05,0.01,0.98,0.0,0.0,22.47,1005.37,0.0,0.0,0.0,3
9.873,1752853879.2237499,1.4,-3.11,27.7,655.3,0.0,-0.05,0.01,0.99,0.0,0.0,22.48,1005.36,0.0,0.0,0.0,3
10.047,1752853879.4136662,1.4,-3.1,27.69,0.03,0.0,-0.05,0.02,0.99,0.0,0.0,22.49,1005.35,0.0,0.0,0.0,3
10.259,1752853879.6032677,1.4,-3.11,27.69,0.0,0.0,-0.05,0.01,0.98,0.0,0.0,22.5,1005.35,0.0,0.0,0.0,3
10.476,1752853879.782604,1.4,-3.1,27.69,0.0,0.0,-0.05,0.01,0.99,0.0,0.0,22.5,1005.35,0.0,0.0,0.0,3
10.596,1752853879.9717395,1.4,-3.1,27.69,0.0,0.0,-0.05,0.01,0.99,0.0,0.0,22.49,1005.35,0.0,0.0,0.0,3
10.809,1752853880.1614237,1.4,-3.1,27.69,655.32,0.0,-0.05,0.01,0.99,0.0,0.0,22.49,1005.36,0.0,0.0,0.0,3
11.032,1752853880.3416288,1.39,-3.1,27.69,655.25,0.0,-0.05,0.01,0.99,0.0,0.0,22.48,1005.37,0.0,0.0,0.0,3
11.207,1752853880.5218668,1.39,-3.1,27.69,655.26,0.0,-0.05,0.01,0.99,0.0,0.0,22.48,1005.36,0.0,0.0,0.0,3
11.373,1752853880.7120135,1.39,-3.1,27.69,655.2,0.0,-0.05,0.01,0.99,0.0,0.0,22.47,1005.37,0.0,0.0,0.0,3
11.544,1752853880.8907921,1.39,-3.1,27.69,655.24,0.0,-0.05,0.01,27.69,0.0,0.0,22.48,1005.37,0.0,0.0,0.0,3
11.714,1752853881.0816407,1.39,-3.1,27.69,655.22,0.0,-0.05,0.01,0.99,0.0,0.0,22.48,1005.37,0.0,0.0,0.0,3
11.972,1752853881.2612486,1.39,-3.09,27.69,655.32,0.0,-0.05,0.01,0.99,0.0,0.0,22.49,1005.36,0.0,0.0,0.0,3
12.114,1752853881.4407995,1.39,-3.09,27.69,655.34,0.0,-0.05,0.01,0.99,0.0,0.0,22.49,1005.35,0.0,0.0,0.0,3
12.325,1752853881.6415253,1.39,-3.09,27.69,0.01,0.0,-0.05,0.01,0.99,0.0,0.0,22.49,1005.35,0.0,0.0,0.0,3
12.471,1752853881.8113692,1.39,-3.09,27.69,655.3,0.0,-0.05,0.01,0.99,0.0,0.0,22.48,1005.36,0.0,0.0,0.0,3
12.66,1752853882.0019414,1.39,-3.09,27.69,655.29,0.0,-0.05,0.01,0.99,0.0,0.0,22.49,1005.36,0.0,0.0,0.0,3
12.873,1752853882.1930158,1.39,-3.09,27.69,655.29,0.0,-0.05,0.01,0.99,0.0,0.0,22.5,1005.36,0.0,0.0,0.0,3
13.108,1752853882.3710659,1.39,-3.09,27.69,655.34,0.0,-0.05,0.01,27.69,0.0,0.0,22.5,1005.35,0.0,0.0,0.0,3
13.216,1752853882.5497446,1.39,-3.09,27.69,655.33,0.0,-0.05,0.01,0.99,0.0,0.0,22.49,1005.36,0.0,0.0,0.0,3
13.432,1752853882.7383342,1.39,-3.08,27.69,655.29,0.0,-0.05,0.01,0.99,0.0,0.0,22.49,1005.36,0.0,0.0,0.0,3
13.589,1752853882.9186025,1.39,-3.08,27.69,655.27,0.0,-0.05,0.01,0.98,0.0,0.0,22.49,1005.36,0.0,0.0,0.0,3
