timestamp,local_timestamp,roll,pitch,yaw,P_alt,Alt,ax,ay,az,lat,lon,temp,pressure,vel_n,vel_e,vel_d,ejection
463734,1752848508.7217126,-0.75,-3.01,16.53,1.16,0.0,-0.05,0.01,0.99,0.0,0.0,22.75,1004.99,0.0,0.0,0.0,3
463965,1752848508.9022148,-0.75,-3.01,16.53,1.12,0.0,-0.05,0.02,0.99,0.0,0.0,22.75,1005.0,0.0,0.0,0.0,3
464142,1752848509.0919318,-0.74,-3.02,16.5,1.12,0.0,-0.04,0.01,0.99,0.0,0.0,22.74,1005.0,0.0,0.0,0.0,3
464334,1752848509.2795548,-0.74,-3.01,16.51,1.11,0.0,-0.05,0.01,0.99,0.0,0.0,22.75,1005.0,0.0,0.0,0.0,3
464480,1752848509.4593208,-0.74,-3.01,16.51,1.11,0.0,-0.05,0.01,0.99,0.0,0.0,22.75,1005.0,0.0,0.0,0.0,3
464689,1752848509.6502907,-0.74,-3.01,16.51,1.06,0.0,-0.05,0.0,0.01,0.0,0.0,22.73,1005.0,0.0,0.0,0.0,3
464862,1752848509.8294754,-0.75,-3.01,16.51,1.06,0.0,-0.05,0.02,0.99,0.0,0.0,22.74,1005.0,0.0,0.0,0.0,3
465084,1752848510.020663,-0.75,-3.01,16.51,1.15,0.0,-0.04,0.02,0.98,0.0,0.0,22.75,1004.99,0.0,0.0,0.0,3
465243,1752848510.1995347,-0.75,-3.01,16.51,1.12,0.0,-0.05,0.01,0.98,0.0,0.0,22.75,1005.0,0.0,0.0,0.0,3
465399,1752848510.3798344,-0.75,-3.01,16.51,1.12,0.0,-0.05,0.01,0.99,0.0,0.0,22.74,1005.0,0.0,0.0,0.0,3
465581,1752848510.5685425,-0.75,-3.01,16.51,1.14,0.0,-0.04,0.01,0.98,0.0,0.0,22.75,1004.99,0.0,0.0,0.0,3
465836,1752848510.7581975,-0.75,-3.01,16.51,1.24,0.0,-3.01,16.51,0.0,0.0,0.0,22.76,1004.98,0.0,0.0,0.0,3
