timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,roll,pitch,yaw,T,P,P_alt,fix,lon,lat,alt,velN,velE,velD,ejection
30064,-0.01,0.01,0.99,0.0,0.0,0.0,13.9,14.9,-39.8,0.57,-0.63,-131.45,24.06,1009.98,654.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0
30090,-0.01,0.01,0.99,0.0,0.0,0.0,13.9,14.9,-39.8,0.57,-0.63,-131.45,24.06,1009.98,654.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0
30110,-0.01,0.0,0.99,0.0,0.0,0.0,13.9,14.9,-39.5,0.57,-0.63,-131.45,24.05,1009.98,654.91,0,0.0,0.0,0.0,0.0,0.0,0.0,0
30192,-0.01,0.01,0.01,0.0,0.0,0.0,0.9,13.8,14.9,0.57,-0.63,-131.45,24.04,1009.99,654.88,0,0.0,0.0,0.0,0.0,0.0,0.0,0
30292,-0.01,0.01,0.01,0.0,0.0,0.0,0.9,13.8,14.9,0.57,-0.63,-131.45,24.04,1009.99,654.88,0,0.0,0.0,0.0,0.0,0.0,0.0,0
30311,-0.01,0.01,0.99,0.0,0.0,0.0,14.0,14.9,-39.4,0.57,-0.63,-131.45,24.04,1009.99,654.88,0,0.0,0.0,0.0,0.0,0.0,0.0,0
30393,-0.01,0.01,0.99,0.0,0.0,0.0,14.0,14.9,-39.4,0.57,-0.63,-131.45,24.04,1009.98,654.89,0,0.0,0.0,0.0,0.0,0.0,0.0,0
30468,-0.01,0.01,0.99,0.0,0.0,0.0,14.0,15.0,0.0,0.57,-0.63,-131.45,24.04,1009.98,654.93,0,0.0,0.0,0.0,0.0,0.0,0.0,0
30595,-0.01,0.01,0.99,0.0,0.0,0.0,14.0,15.0,0.0,0.57,-0.63,-131.45,24.04,1009.98,654.93,0,0.0,0.0,0.0,0.0,0.0,0.0,0
30627,-0.01,0.01,0.99,0.0,0.0,0.0,14.0,15.0,0.0,0.57,-0.63,-131.45,24.04,1009.98,654.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0
31427,-0.01,0.01,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.57,-0.63,-131.45,24.05,1009.97,655.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0
31554,0.0,0.0,0.99,0.0,0.0,0.0,13.8,15.1,-39.2,0.58,-0.63,-131.45,24.04,1009.97,654.98,0,0.0,0.0,0.0,0.0,0.0,0.0,0
31635,0.0,0.0,0.99,0.0,0.0,0.0,13.8,15.1,-39.2,0.58,-0.63,-131.45,24.04,1009.97,654.98,0,0.0,0.0,0.0,0.0,0.0,0.0,0
31693,0.0,0.0,0.99,0.0,0.0,0.0,13.8,15.1,-39.2,0.58,-0.63,-131.45,24.04,1009.98,654.96,0,0.0,0.0,0.0,0.0,0.0,0.0,0
31756,0.0,0.0,0.99,0.0,0.0,0.0,13.8,15.1,-39.2,0.58,-0.63,-131.45,24.04,1009.98,654.96,0,0.0,0.0,0.0,0.0,0.0,0.0,0
31788,-0.01,0.0,0.99,0.0,0.0,0.0,13.9,15.1,-39.5,0.57,-0.62,-131.45,24.04,1009.98,654.97,0,0.0,0.0,0.0,0.0,0.0,0.0,0
31819,-0.01,0.0,0.99,0.0,0.0,0.0,13.9,15.1,-39.5,0.57,-0.62,-131.45,24.04,1009.98,654.97,0,0.0,0.0,0.0,0.0,0.0,0.0,0
31834,-0.01,0.01,0.99,0.0,0.0,0.0,13.5,14.8,-39.5,0.57,-0.62,-131.45,24.04,1009.97,654.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0
31916,-0.01,0.01,0.99,0.0,0.0,0.0,13.5,14.8,-39.5,0.57,-0.62,-131.45,24.04,1009.97,654.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0
31975,0.0,0.0,0.99,0.0,0.0,0.0,13.9,15.1,-39.4,0.57,-0.63,-131.45,24.04,1009.97,655.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0
32028,0.0,0.0,0.99,0.0,0.0,0.0,13.9,15.1,-39.4,0.57,-0.63,-131.45,24.04,1009.97,655.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0
32068,-0.01,0.01,0.99,0.0,0.0,0.0,13.9,14.9,-39.7,0.57,-0.63,-131.45,24.04,1009.97,655.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0
32098,-0.01,0.01,0.99,0.0,0.0,0.0,13.9,14.9,-39.7,0.57,-0.63,-131.45,24.04,1009.97,655.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0
32144,-0.01,0.0,0.99,0.0,0.0,0.0,14.2,14.9,-39.7,0.57,-0.63,-131.45,24.04,1009.97,655.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0
32226,-0.01,0.0,0.99,0.0,0.0,0.0,14.2,14.9,-39.7,0.57,-0.63,-131.45,24.04,1009.97,655.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0
32936,-0.01,0.01,0.99,0.0,0.0,0.0,13.7,14.9,-39.4,0.58,-0.63,-131.45,24.01,1009.99,654.87,0,0.0,0.0,0.0,0.0,0.0,0.0,0
33029,-0.01,0.0,0.99,0.0,0.0,0.0,13.9,15.0,-39.5,0.58,-0.63,-131.45,24.02,1009.98,654.92,0,0.0,0.0,0.0,0.0,0.0,0.0,0
33095,-0.01,0.0,0.99,0.0,0.0,0.0,13.9,15.0,-39.5,0.58,-0.63,-131.45,24.02,1009.98,654.92,0,0.0,0.0,0.0,0.0,0.0,0.0,0
33109,-0.01,0.01,0.99,0.0,0.0,0.0,13.8,15.1,-39.6,0.58,-0.63,-131.45,24.03,1009.97,655.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
33192,-0.01,0.01,0.99,0.0,0.0,0.0,13.8,15.1,-39.6,0.58,-0.63,-131.45,24.03,1009.97,655.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
33258,-0.01,0.0,0.99,0.0,0.0,0.0,13.9,14.8,-39.2,0.58,-0.63,-131.45,24.04,1009.97,655.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0
33340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,-0.63,-131.45,24.04,1009.97,655.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0
33357,-0.01,0.01,0.99,0.0,0.0,0.0,14.0,14.8,-39.0,0.58,-0.63,-131.45,24.03,1009.97,655.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0
33458,-0.01,0.01,0.99,0.0,0.0,0.0,14.0,14.8,-39.0,0.58,-0.63,-131.45,24.03,1009.97,655.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0
33478,-0.01,0.01,0.99,0.0,0.0,0.0,14.4,14.9,-39.5,0.57,-0.63,-131.45,24.03,1009.97,655.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0
33488,-0.01,0.01,0.99,0.0,0.0,0.0,14.4,14.9,-39.5,0.57,-0.63,-131.45,24.02,1009.97,654.98,0,0.0,0.0,0.0,0.0,0.0,0.0,0
33576,0.0,0.0,0.99,0.0,0.0,0.0,1.0,0.0,0.0,0.58,-0.63,-131.45,24.02,1009.97,654.98,0,0.0,0.0,0.0,0.0,0.0,0.0,0
33683,0.0,0.0,0.99,0.0,0.0,0.0,1.0,0.0,0.0,0.58,-0.63,-131.45,24.02,1009.97,654.98,0,0.0,0.0,0.0,0.0,0.0,0.0,0
33716,0.0,0.0,0.99,0.0,0.0,0.0,1.0,0.0,0.0,0.58,-0.63,-131.45,24.02,1009.97,654.98,0,0.0,0.0,0.0,0.0,0.0,0.0,0
33761,-0.01,0.0,0.99,0.0,0.0,0.0,14.0,15.1,-39.6,0.57,-0.63,-131.45,24.02,1009.98,654.96,0,0.0,0.0,0.0,0.0,0.0,0.0,0
33842,-0.01,0.0,0.99,0.0,0.0,0.0,14.0,15.1,-39.6,0.57,-0.63,-131.45,24.02,1009.98,654.96,0,0.0,0.0,0.0,0.0,0.0,0.0,0
33861,-0.01,0.0,0.99,0.0,0.0,0.0,14.0,14.9,-39.0,0.57,-0.63,-131.45,24.01,1009.98,654.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0
33942,-0.01,0.0,0.99,0.0,0.0,0.0,14.0,14.9,-39.0,0.57,-0.63,-131.45,24.01,1009.98,654.91,0,0.0,0.0,0.0,0.0,0.0,0.0,0
34643,-0.01,0.01,0.99,0.0,0.0,0.0,13.9,15.2,-39.5,0.57,-0.63,-131.45,24.04,1009.97,655.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0
34683,-0.01,0.01,0.99,0.0,0.0,0.0,13.9,15.2,-39.5,0.57,-0.63,-131.45,24.04,1009.97,655.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0
34722,-0.01,0.01,0.99,0.0,0.0,0.0,13.9,14.8,-39.5,0.57,-0.63,-131.45,24.04,1009.97,655.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0
34816,-0.01,0.01,0.99,0.0,0.0,0.0,13.9,14.8,-39.5,0.57,-0.63,-131.45,24.04,1009.97,655.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0
