timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,roll,pitch,yaw,T,P,P_alt,fix,lon,lat,alt,velN,velE,velD,ejection
374,-0.010999999940395355,0.00800000037997961,0.9919999837875366,0.0,0.0,0.0,22.100000381469727,8.600000381469727,-46.599998474121094,0.4300000071525574,-0.6200000047683716,-159.25,23.568138122558594,1004.5638427734375,-0.07340240478515625,0,0.0,0.0,0.0,0.0,0.0,0.0,0
479,-0.012000000104308128,0.008999999612569809,0.9929999709129333,0.0,0.0,0.0,22.100000381469727,8.300000190734863,-47.0,0.4300000071525574,-0.6200000047683716,-159.25,23.51378059387207,1004.5924072265625,-0.31121063232421875,0,0.0,0.0,0.0,0.0,0.0,0.0,0
585,-0.012000000104308128,0.008999999612569809,0.9929999709129333,0.0,0.0,0.0,22.200000762939453,8.399999618530273,-46.79999923706055,0.4300000071525574,-0.6200000047683716,-159.25,23.486963272094727,1004.594482421875,-0.32970428466796875,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1900,-0.009999999776482582,0.007000000216066837,0.9919999837875366,0.0,0.0,0.0,22.399999618530273,8.600000381469727,-47.0,0.4399999976158142,-0.6200000047683716,-159.24000549316406,23.4472599029541,1004.6015014648438,-0.3878326416015625,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2581,-0.0,0.009999999776482582,0.9919999837875366,0.0,0.0,0.0,22.600000381469727,8.300000190734863,-47.20000076293945,0.4399999976158142,-0.6200000047683716,-159.24000549316406,23.434375762939453,1004.6121826171875,-0.47766876220703125,0,0.0,0.0,0.0,0.0,0.0,0.0,0
3965,-0.010999999940395355,0.006000000052154064,0.9929999709129333,0.0,0.0,0.0,22.399999618530273,8.199999809265137,-46.900001525878906,0.4399999976158142,-0.6200000047683716,-159.24000549316406,23.4344482421875,1004.5992431640625,-0.3693389892578125,0,0.0,0.0,0.0,0.0,0.0,0.0,0
4645,-0.009999999776482582,0.007000000216066837,0.9909999966621399,0.0,0.0,0.0,22.5,8.300000190734863,-47.0,0.4300000071525574,-0.6200000047683716,-159.24000549316406,23.455825805664062,1004.5861206054688,-0.2610015869140625,0,0.0,0.0,0.0,0.0,0.0,0.0,0
8478,0.019999999552965164,0.023000000044703484,0.9710000157356262,6.150000095367432,-0.23999999463558197,0.38999998569488525,18.299999237060547,9.100000381469727,-47.29999923706055,0.6600000262260437,-0.03999999910593033,-151.3000030517578,23.460615158081055,1004.5875244140625,-0.271575927734375,0,0.0,0.0,0.0,0.0,0.0,0.0,0
8559,-0.019999999552965164,0.014000000432133675,0.9980000257492065,1.75,-0.12999999523162842,6.71999979019165,18.200000762939453,8.600000381469727,-47.900001525878906,1.0399999618530273,-0.1899999976158142,-151.8000030517578,23.46957778930664,1004.58203125,-0.2240142822265625,0,0.0,0.0,0.0,0.0,0.0,0.0,0
8666,-0.019999999552965164,0.014000000432133675,0.9980000257492065,1.75,-0.12999999523162842,6.71999979019165,18.200000762939453,8.600000381469727,-47.900001525878906,1.0399999618530273,-0.1899999976158142,-151.8000030517578,23.472885131835938,1004.5809936523438,-0.21608734130859375,0,0.0,0.0,0.0,0.0,0.0,0.0,0
8771,-0.019999999552965164,0.014000000432133675,0.9980000257492065,1.75,-0.12999999523162842,6.71999979019165,18.200000762939453,8.600000381469727,-47.900001525878906,1.0399999618530273,-0.1899999976158142,-151.8000030517578,23.472885131835938,1004.5809936523438,-0.21608734130859375,0,0.0,0.0,0.0,0.0,0.0,0.0,0
8836,0.0020000000949949026,0.03500000014901161,1.0089999437332153,13.829999923706055,0.5299999713897705,-2.430000066757202,18.200000762939453,8.300000190734863,-48.900001525878906,2.2300000190734863,-0.14000000059604645,-151.72000122070312,23.473716735839844,1004.578125,-0.1923065185546875,0,0.0,0.0,0.0,0.0,0.0,0.0,0
8943,0.0020000000949949026,0.03500000014901161,1.0089999437332153,13.829999923706055,0.5299999713897705,-2.430000066757202,18.200000762939453,8.300000190734863,-48.900001525878906,2.2300000190734863,-0.14000000059604645,-151.72000122070312,23.473716735839844,1004.578125,-0.1923065185546875,0,0.0,0.0,0.0,0.0,0.0,0.0,0
9734,-0.00800000037997961,0.10400000214576721,0.9779999852180481,3.4700000286102295,0.14000000059604645,0.05999999865889549,19.299999237060547,5.5,-49.400001525878906,5.909999847412109,-0.5299999713897705,-152.52000427246094,23.45448875427246,1004.58642578125,-0.2610015869140625,0,0.0,0.0,0.0,0.0,0.0,0.0,0
9840,-0.00800000037997961,0.10400000214576721,0.9779999852180481,3.4700000286102295,0.14000000059604645,0.05999999865889549,19.299999237060547,5.5,-49.400001525878906,5.909999847412109,-0.5299999713897705,-152.52000427246094,23.46171760559082,1004.5803833007812,-0.2108001708984375,0,0.0,0.0,0.0,0.0,0.0,0.0,0
11366,-0.012000000104308128,0.19900000095367432,0.9769999980926514,0.0,0.0,0.0,20.200000762939453,1.7000000476837158,-52.0,11.6899995803833,-0.7900000214576721,-151.1199951171875,23.45438003540039,1004.5855712890625,-0.2557220458984375,0,0.0,0.0,0.0,0.0,0.0,0.0,0
11438,-0.012000000104308128,0.19900000095367432,0.9769999980926514,0.0,0.0,0.0,20.200000762939453,1.7000000476837158,-52.0,11.6899995803833,-0.7900000214576721,-151.1199951171875,23.457670211791992,1004.587158203125,-0.26892852783203125,0,0.0,0.0,0.0,0.0,0.0,0.0,0
12278,0.01899999938905239,0.1899999976158142,0.9710000157356262,0.7200000286102295,0.09000000357627869,0.10999999940395355,18.799999237060547,2.200000047683716,-52.599998474121094,10.779999732971191,1.1399999856948853,-149.64999389648438,23.47588539123535,1004.5758666992188,-0.1738128662109375,0,0.0,0.0,0.0,0.0,0.0,0.0,0
12382,0.01899999938905239,0.1899999976158142,0.9710000157356262,0.7200000286102295,0.09000000357627869,0.10999999940395355,18.799999237060547,2.200000047683716,-52.599998474121094,10.779999732971191,1.1399999856948853,-149.64999389648438,23.47588539123535,1004.5758666992188,-0.1738128662109375,0,0.0,0.0,0.0,0.0,0.0,0.0,0
13144,0.003000000026077032,0.18199999630451202,0.9580000042915344,2.859999895095825,-0.1599999964237213,-1.4700000286102295,18.799999237060547,2.5999999046325684,-52.400001525878906,10.460000038146973,0.9700000286102295,-148.9600067138672,23.476102828979492,1004.5655517578125,-0.08661651611328125,0,0.0,0.0,0.0,0.0,0.0,0.0,0
13241,0.00800000037997961,0.16899999976158142,0.9940000176429749,2.309999942779541,2.2899999618530273,-2.0799999237060547,18.899999618530273,2.4000000953674316,-52.0,10.640000343322754,0.8799999952316284,-148.7899932861328,23.457326889038086,1004.5772705078125,-0.18437957763671875,0,0.0,0.0,0.0,0.0,0.0,0.0,0
13330,0.00800000037997961,0.16899999976158142,0.9940000176429749,2.309999942779541,2.2899999618530273,-2.0799999237060547,18.899999618530273,2.4000000953674316,-52.0,10.640000343322754,0.8799999952316284,-148.7899932861328,23.457326889038086,1004.5772705078125,-0.18437957763671875,0,0.0,0.0,0.0,0.0,0.0,0.0,0
13366,0.007000000216066837,0.1809999942779541,0.9610000252723694,-1.2899999618530273,1.559999942779541,0.2800000011920929,19.299999237060547,2.299999952316284,-52.0,10.869999885559082,0.6600000262260437,-148.72999572753906,23.456911087036133,1004.5811767578125,-0.21872711181640625,0,0.0,0.0,0.0,0.0,0.0,0.0,0
13472,0.007000000216066837,0.1809999942779541,0.9610000252723694,-1.2899999618530273,1.559999942779541,0.2800000011920929,19.299999237060547,2.299999952316284,-52.0,10.869999885559082,0.6600000262260437,-148.72999572753906,23.454145431518555,1004.5811767578125,-0.21872711181640625,0,0.0,0.0,0.0,0.0,0.0,0.0,0
13565,0.008999999612569809,0.17599999904632568,0.9950000047683716,1.7599999904632568,0.44999998807907104,-0.4399999976158142,19.100000381469727,3.0,-0.10999999940395355,10.600000381469727,0.5299999713897705,-148.67999267578125,23.460525512695312,1004.5792236328125,-0.20287322998046875,0,0.0,0.0,0.0,0.0,0.0,0.0,0
