timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,roll,pitch,yaw,T,P,P_alt,fix,lon,lat,alt,velN,velE,velD,ejection
131053,-0.008999999612569809,0.0020000000949949026,0.9909999966621399,0.0,0.0,0.0,19.399999618530273,8.899999618530273,-46.400001525878906,0.15000000596046448,-0.5699999928474426,-153.60000610351562,23.450695037841797,1004.5545043945312,0.00586700439453125,0,0.0,0.0,0.0,0.0,0.0,0.0,0
131111,-0.010999999940395355,0.004000000189989805,0.9919999837875366,0.0,0.0,0.0,19.399999618530273,8.800000190734863,-46.400001525878906,0.1599999964237213,-0.5799999833106995,-153.60000610351562,23.45244789123535,1004.5494384765625,0.0481414794921875,0,0.0,0.0,0.0,0.0,0.0,0.0,0
131222,-0.010999999940395355,0.004000000189989805,0.9919999837875366,0.0,0.0,0.0,19.399999618530273,8.800000190734863,-46.400001525878906,0.1599999964237213,-0.5799999833106995,-153.60000610351562,23.451940536499023,1004.5521240234375,0.02436065673828125,0,0.0,0.0,0.0,0.0,0.0,0.0,0
131992,0.0,-0.009999999776482582,0.003000000026077032,0.0,0.0,0.0,0.9909999966621399,19.100000381469727,9.0,0.15000000596046448,-0.5699999928474426,-153.60000610351562,23.45116424560547,1004.5554809570312,-0.0020599365234375,0,0.0,0.0,0.0,0.0,0.0,0.0,0
132107,-0.009999999776482582,0.0020000000949949026,0.9940000176429749,0.0,0.0,0.0,19.100000381469727,8.600000381469727,-46.400001525878906,0.1599999964237213,-0.5699999928474426,-153.60000610351562,23.44997215270996,1004.5550537109375,0.000579833984375,0,0.0,0.0,0.0,0.0,0.0,0.0,0
132195,-0.009999999776482582,0.0020000000949949026,0.9940000176429749,0.0,0.0,0.0,19.100000381469727,8.600000381469727,-46.400001525878906,0.1599999964237213,-0.5699999928474426,-153.60000610351562,23.453495025634766,1004.555419921875,-0.0020599365234375,0,0.0,0.0,0.0,0.0,0.0,0.0,0
132280,-0.010999999940395355,0.004000000189989805,0.9940000176429749,0.0,0.0,0.0,19.299999237060547,8.800000190734863,-46.599998474121094,0.1599999964237213,-0.5699999928474426,-153.60000610351562,23.45989227294922,1004.5519409179688,0.02700042724609375,0,0.0,0.0,0.0,0.0,0.0,0.0,0
132389,-0.010999999940395355,0.004000000189989805,0.9940000176429749,0.0,0.0,0.0,19.299999237060547,8.800000190734863,-46.599998474121094,0.1599999964237213,-0.5699999928474426,-153.60000610351562,23.46048927307129,1004.55419921875,0.00850677490234375,0,0.0,0.0,0.0,0.0,0.0,0.0,0
132480,-0.010999999940395355,0.003000000026077032,0.9929999709129333,0.0,0.0,0.0,19.5,8.899999618530273,-46.5,0.15000000596046448,-0.5699999928474426,-153.60000610351562,23.46048927307129,1004.55419921875,0.00850677490234375,0,0.0,0.0,0.0,0.0,0.0,0.0,0
133159,-0.008999999612569809,0.0010000000474974513,0.9919999837875366,0.0,0.0,0.0,19.700000762939453,8.800000190734863,-46.400001525878906,0.1599999964237213,-0.5699999928474426,-153.60000610351562,23.460073471069336,1004.55615234375,-0.00734710693359375,0,0.0,0.0,0.0,0.0,0.0,0.0,0
133332,-0.010999999940395355,0.003000000026077032,0.9929999709129333,0.0,0.0,0.0,19.5,8.600000381469727,-46.20000076293945,0.1599999964237213,-0.5699999928474426,-153.61000061035156,23.4630184173584,1004.5562744140625,-0.00998687744140625,0,0.0,0.0,0.0,0.0,0.0,0.0,0
133423,-0.010999999940395355,0.003000000026077032,0.9929999709129333,0.0,0.0,0.0,19.5,8.600000381469727,-46.20000076293945,0.1599999964237213,-0.5699999928474426,-153.61000061035156,23.4630184173584,1004.5562744140625,-0.00998687744140625,0,0.0,0.0,0.0,0.0,0.0,0.0,0
133466,-0.008999999612569809,0.0020000000949949026,0.9950000047683716,0.0,0.0,0.0,19.5,8.899999618530273,-46.5,0.1599999964237213,-0.5699999928474426,-153.61000061035156,23.447153091430664,1004.5692749023438,-0.11832427978515625,0,0.0,0.0,0.0,0.0,0.0,0.0,0
