timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,roll,pitch,yaw,T,P,P_alt,fix,lon,lat,alt,velN,velE,velD,ejection
0,-0.01,0.01,0.99,0.0,0.0,0.0,-5.1,13.6,-48.0,0.63,-1.03,-63.89,24.34,1009.94,0.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0
73,-0.01,0.0,0.99,0.0,0.0,0.0,-5.1,13.7,-48.3,0.62,-1.03,-63.89,24.34,1009.94,0.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0
607,-0.01,0.01,0.99,0.0,0.0,0.0,-6.0,13.8,-47.9,0.63,-1.04,-64.11,24.23,1009.99,654.96,0,0.0,0.0,0.0,0.0,0.0,0.0,0
637,-0.01,0.01,0.99,0.0,0.0,0.0,-6.0,13.8,-47.9,0.63,-1.04,-64.11,24.23,1009.99,654.96,0,0.0,0.0,0.0,0.0,0.0,0.0,0
777,-0.01,0.01,0.99,0.0,0.0,0.0,-5.7,13.9,-48.1,0.63,-1.04,-64.11,24.24,1010.0,654.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1532,-0.02,0.01,0.99,0.0,0.0,0.0,-5.5,14.1,-47.9,0.63,-1.03,-64.11,24.2,1010.01,654.79,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1625,-0.02,0.01,0.99,0.0,0.0,0.0,-5.5,14.1,-47.9,0.63,-1.03,-64.11,24.2,1010.01,654.79,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1650,-0.01,0.01,0.99,0.0,0.0,0.0,-5.7,13.6,-48.1,0.63,-1.03,-64.11,24.21,1010.02,654.78,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1714,-0.01,0.01,0.99,0.0,0.0,0.0,-5.7,13.6,-48.1,0.63,-1.03,-64.11,24.21,1010.02,654.78,0,0.0,0.0,0.0,0.0,0.0,0.0,0
1774,-0.01,0.01,0.99,0.0,0.0,0.0,-5.7,13.9,-400.0,0.63,-1.04,-64.11,24.22,1010.01,654.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2332,-0.02,0.01,1.0,0.0,0.0,0.0,-5.2,14.1,-47.7,0.63,-1.03,-64.11,24.25,1010.0,654.92,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2402,-0.02,0.01,1.0,0.0,0.0,0.0,-5.2,14.1,-47.7,0.63,-1.03,-64.11,24.25,1010.0,654.92,0,0.0,0.0,0.0,0.0,0.0,0.0,0
3037,-0.01,0.01,0.99,0.0,0.0,0.0,-5.9,13.8,-48.0,0.64,-1.03,-64.12,24.26,1009.99,654.97,0,0.0,0.0,0.0,0.0,0.0,0.0,0
